2018-04-20 20:16:31,b'@LeeMack bloody lovely on hignfy right now being funny and sexy as hell as usual #hignfy',London
2018-04-20 20:10:54,b'Well it\xe2\x80\x99s #HIGNFY or as #PaulMerton calls it \xe2\x80\x9cMoney for Old Rope\xe2\x80\x9d',London
2018-04-20 20:10:51,b'Sitting waiting for @BarristerSecret to be mentioned on #hignfy',London
2018-04-20 20:10:47,b'#hignfy Lee\xe2\x80\x99s last visit I suspect \xf0\x9f\x98\xb1 #pastitssellbydate',London
2018-04-20 20:10:35,b'#hignfy Lee Mack trying to remind Paul Merton what humour is. Merton not quite getting it though.',London
2018-04-20 20:10:35,b'#hignfy is @LeeMack being held hostage and trying to send us a message with his blinking?',London
2018-04-20 20:10:25,"b'Old Theresa May cartoon of mine, from a couple of years back. #HIGNFY https://t.co/tk9olkRVE9'",London
2018-04-20 20:10:24,"b'On #hignfy Janet and Ian look like the leftover, final pair at swingers party. Yuk'",London
2018-04-20 20:10:21,b'Where did @The_Real_JSP get her amazing flowery jumper from? #hignfy',London
2018-04-20 20:10:15,"b""What's with Lee Mack's blinking? #HIGNFY""",London
2018-04-20 20:10:13,b'I love Lee Mack so much. #hignfy',London
2018-04-20 20:10:08,"b""What is that blinking thing that Lee Mack has developed in recent years? #hignfy \nI've noticed it before on Would I Lie To You""",London
2018-04-20 20:10:02,b'#hignfy Can the BBC do ANY  comedy which is not left wing. So predictable',London
2018-04-20 20:09:47,b'I would very much like to know where @sarapascoe\xe2\x80\x99s #HIGNFY cat shirt comes from. https://t.co/gvihKUH1Cc',London
2018-04-20 20:09:42,b'#hignfy Anyone else noticing Lee Mack blinking with more determination than he needs to?',London
2018-04-20 20:09:38,b'Shocked. There are two women on #hignfy tonight.',London
2018-04-20 20:09:37,b'@onbbc1now Those Hunt Cunt gags never get old. #hignfy',London
2018-04-20 20:09:33,b'Has Lee Mack developed a  nervous twitch?\n#HIGNFY',London
2018-04-20 20:09:32,"b' #hignfy Is Lee Mack practicing his elocution lessons, wearing in a new set of teeth for Janet Street Porter or just trying\xe2\x80\xa6 https://t.co/lanB5ayumY'",London
2018-04-20 20:09:29,"b"" #hignfy Dans found 'The Bourne Legacy' on #film4. Awesome film and we both like #Mattdamon \xf0\x9f\x98\x8d\nThat's us fixed up for tonight\xe2\x80\xa6 https://t.co/SVI6YzHWco""",London
2018-04-20 20:09:28,"b""Nobody can write a chairman's script actually funnier than @LeeMack would have been without one :/ #hignfy""",London
2018-04-20 20:09:25,b'has lee mack got a problem with his eyes? #hignfy',London
2018-04-20 20:09:23,b'#HIGNFY! TWO women! Wow! But what happened to Sayeeda Warsi who was scheduled to appear?!',London
2018-04-20 20:09:10,b'Is this a lying hunt #hignfy #nhs',London
2018-04-20 20:09:03,b'Essential cat participation in tonight\xe2\x80\x99s #HIGNFY https://t.co/c0iGd358Hu',London
2018-04-20 20:08:59,b'This Hunt story is bloody weeks old #hignfy',London
2018-04-20 20:08:58,b'#hignfy after watching for two minutes I now know why I don\xe2\x80\x99t watch this left wing bs and Lee Mack ffs',London
2018-04-20 20:08:54,"b""#hignfy I'm sure Hunt has a little man to launder his money for him.""",London
2018-04-20 20:08:15,"b'#HIGNFY starts with a ""joke about disability""..Ho Ho Ho\nThen go on to suggest that #Windrush records ""went missing""\xe2\x80\xa6 https://t.co/sfeSCr3Twq'",London
2018-04-20 20:08:12,"b""Janet's a twat #hignfy""",London
2018-04-20 20:07:57,b'So @sarapascoe looks amazing tonight on Have I got news for you this evening #justsaying #hignfy',London
2018-04-20 20:07:52,b'Two women panelists on #HIGNFY... I\xe2\x80\x99m seeing things \xf0\x9f\x91\x80',London
2018-04-20 20:07:49,"b'The two females guests, are they sponsored by Colgate or the jockey club? #hignfy'",London
2018-04-20 20:07:48,"b""#hignfy Let's make it the last episode!""",London
2018-04-20 20:07:47,b'Old pic I did\n#hignfy \nhttps://t.co/YWYlARMToR',London
2018-04-20 20:07:46,b'Not sure the show is reading the room starting with an anti-disability joke #hignfy',London
2018-04-20 20:07:37,b'RT @Bullionbasis: Lee Mack. Proof that #hignfy should now be cancelled.',London
2018-04-20 20:07:22,b'Oh lets All laugh at the scums headlines  #hignfy',London
2018-04-20 20:07:21,b'40 years in tv and still no has ever understood a word J s porter has said. #hignfy',London
2018-04-20 20:07:13,b'RT @PaulBrandITV: Pretty excited to be on @haveigotnews tonight... sort of. Tune in. #hignfy',London
2018-04-20 20:07:02,b'Sara Pascoe on #HIGNFY is looking fantastic \xf0\x9f\x98\x8d',London
2018-04-20 20:06:45,b'Finally panel equality on #HIGNFY now regular female hosts #GenderEqualWorld',London
2018-04-20 20:06:30,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 20:06:21,b'#hignfy lefty bollocks again',London
2018-04-20 20:06:04,b'I wonder if @sarapascoe likes cats? #hignfy',London
2018-04-20 20:06:01,b'Is this #LeeMackWeek on #bbc? Twice last night (#WILTY #NGO) now again tonight #HIGNFY',London
2018-04-20 20:05:54,"b'""No-one knows who shredded the landing cards,"" says Janet Street Porter, Tory. \n\n#YesWeDoKnow\n#ItWasYourFaves\n#hignfy'",London
2018-04-20 20:05:51,b'On #hignfy Sarah pascoe look like a horse swallowed Gandalf',London
2018-04-20 20:05:51,b'ffs #hignfy starts with a joke about disabled people faking their disabilities',London
2018-04-20 20:05:49,b'RT @bitgit: oh ho ho #hignfy nice c^ntish joke on disability living allowance recipients eh \n#forShame nasty party',London
2018-04-20 20:05:45,"b""Pascoe isn't even a comedian #hignfy""",London
2018-04-20 20:05:43,"b""RT @HollHox: Oh wow, #HIGNFY that wheelchair/disability joke was not funny. Playing on the old 'wheelchair users shouldn't be walking' bull\xe2\x80\xa6""",London
2018-04-20 20:05:35,b'Pascoe is as funny as a stubbed toe and she\xe2\x80\x99s always on here to tick a box. #hignfy',London
2018-04-20 20:05:14,"b"" #hignfy Two female guests again\nGood but they've both been on the show before, would be even better to see fresh faces, ide\xe2\x80\xa6 https://t.co/EXiJBe1fIy""",London
2018-04-20 20:04:53,b'There is nothing entertaining or likeable about Janet Street-Porter. #hignfy',London
2018-04-20 20:04:52,"b""Oh wow, #HIGNFY that wheelchair/disability joke was not funny. Playing on the old 'wheelchair users shouldn't be walking' bullshit.""",London
2018-04-20 20:04:49,b'So what happened to baroness warsi then? #hignfy',London
2018-04-20 20:04:48,b'oh ho ho #hignfy nice c^ntish joke on disability living allowance recipients eh \n#forShame nasty party',London
2018-04-20 20:04:46,b'Watching #hignfy for the first time in about a year - they have TWO women on - bloody hell! What\xe2\x80\x99s the world coming to?!',London
2018-04-20 20:04:44,"b""Omfg two women on a comedy panel show at once!? It's the future \xf0\x9f\x99\x8c #hignfy""",London
2018-04-20 20:04:39,"b""Oh god Sarah Pascoe on #hignfy  prepare for man hating 'jokes'. No idea how she gets on TV""",London
2018-04-20 20:04:36,b'Two very lefty guests on #hignfy',London
2018-04-20 20:04:33,b'#hignfy Lee Mack presenting???!!! Insufferable see you next Tuesday. Turning off!',London
2018-04-20 20:04:33,b'Lee Mack. Proof that #hignfy should now be cancelled.',London
2018-04-20 20:04:08,b'#hignfy Come on! Something is going to make us laugh this week.',London
2018-04-20 20:04:07,b'#HIGNFY opens with a joke suggesting people on DLA are faking. How very satirical.',London
2018-04-20 20:04:05,b'LMFAO @ the cyclist #hignfy',London
2018-04-20 20:03:47,b'#hignfy bit annoyed about the dla dig!',London
2018-04-20 20:03:42,b'oh fuck janet street-porter is on #hignfy :-\\',London
2018-04-20 20:03:32,b'Pretty excited to be on @haveigotnews tonight... sort of. Tune in. #hignfy',London
2018-04-20 20:03:30,b'Oh balls to it. Janet Street-Porter. #hignfy',London
2018-04-20 20:03:19,b'Lee Mack in charge of #HIGNFY ! \xf0\x9f\x98\x82',London
2018-04-20 20:03:10,b'Quiet #HIGNFY is on \xf0\x9f\xa4\xab',London
2018-04-20 20:02:52,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 20:02:26,b'#HIGNFY time on @BBCOne HD.',London
2018-04-20 20:02:25,b'I am dreading this #hignfy',London
2018-04-20 20:00:40,"b""Someone just pointed out I'm at risk of missing #haveigotnewsforyou #hignfy so I ended up having to switch the chan\xe2\x80\xa6 https://t.co/j0CRaoi7CD""",London
2018-04-20 19:58:45,b'3 minutes &amp; counting until the lovely @sarapascoe is on #HIGNFY',London
2018-04-20 19:58:36,b'Can\xe2\x80\x99t believe it was 16 years ago that\n Angus Deayton left \n\n#HIGNFY',London
2018-04-20 19:55:46,b'@surfwagen #hignfy klaxon. Turn on bbc2 now.',London
2018-04-20 19:55:43,b'turned on early for #HIGNFY and appear to be watching a treasure hunt inside people\xe2\x80\x99s own houses WTaF?',London
2018-04-20 19:54:53,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 19:53:02,b'The only reason people have this on is they\xe2\x80\x99re waiting for #HIGNFY to start. #TheButton',London
2018-04-20 19:37:08,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 19:14:33,"b'Oh no, I forgot to watch #hignfy again, which starts in 45 minutes.'",London
2018-04-20 19:06:07,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 19:03:00,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:58:03,b'RT @drumslayer2: HENRY V EVE OF BATTLE OF AGINCOURT SPEECH @WilliamsVaughan #Theknowledge #hignfy @PrivateEyeNews @TfL @LondonTaxiRadio @Ca\xe2\x80\xa6',London
2018-04-20 18:55:08,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:42:52,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:40:30,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:40:27,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:40:02,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:36:39,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:36:02,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:31:50,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:31:36,b'What about @albawhitewolf?  She would make a great host for #HIGNFY! https://t.co/ZITK9ZkDCH',London
2018-04-20 18:29:34,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:29:16,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:29:07,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:27:56,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:27:33,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:27:24,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:26:26,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:26:25,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:26:17,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:26:07,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:25:57,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:25:28,"b'RT @haveigotnews: Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 18:25:10,"b'Tonight\xe2\x80\x99s #HIGNFY is hosted by @LeeMack, with guest panellists @sarapascoe and @The_Real_JSP. BBC One, 9pm.'",London
2018-04-20 14:10:01,b'RT @drumslayer2: HENRY V EVE OF BATTLE OF AGINCOURT SPEECH @WilliamsVaughan #Theknowledge #hignfy @PrivateEyeNews @TfL @LondonTaxiRadio @Ca\xe2\x80\xa6',London
2018-04-20 12:09:35,b'RT @UKChristmasTV: BBC One\n9:00pm  Have I Got News For You\n(presented this week by Lee Mack)\n#hignfy\nhttps://t.co/PUcTrVL2vk',London
2018-04-20 12:04:01,b'Tonight\xe2\x80\x99s tv #hignfy BBC 1 at 21:00\n#PlayingforTime Channel 4  23:25',London
2018-04-20 11:50:31,b'BBC One\n9:00pm  Have I Got News For You\n(presented this week by Lee Mack)\n#hignfy\nhttps://t.co/PUcTrVL2vk',London
2018-04-20 11:41:17,"b'Well. @BeautifulUKTour on Wednesday, #HIGNFY recording yesterday, @ChasnHodges at the Royal Albert Hall today and\xe2\x80\xa6 https://t.co/heqhdZCr00'",London
2018-04-20 11:02:46,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-20 10:01:57,b'RT @drumslayer2: HENRY V EVE OF BATTLE OF AGINCOURT SPEECH @WilliamsVaughan #Theknowledge #hignfy @PrivateEyeNews @TfL @LondonTaxiRadio @Ca\xe2\x80\xa6',London
2018-04-20 10:01:17,"b"".@sarapascoe guests on tonight's #HIGNFY @BBCOne 9pm. You can see Sara @UnderbellyFest 19/20 May\xe2\x80\xa6 https://t.co/PjR3FbHkwk""",London
2018-04-20 09:55:16,b'Is it \xe2\x80\x9cFree Ride Friday\xe2\x80\x9d for the Tories again at @haveigotnews ? #HIGNFY',London
2018-04-20 09:31:00,b'RT @drumslayer2: HENRY V EVE OF BATTLE OF AGINCOURT SPEECH @WilliamsVaughan #Theknowledge #hignfy @PrivateEyeNews @TfL @LondonTaxiRadio @Ca\xe2\x80\xa6',London
2018-04-20 09:24:11,b'HENRY V EVE OF BATTLE OF AGINCOURT SPEECH @WilliamsVaughan #Theknowledge #hignfy @PrivateEyeNews @TfL\xe2\x80\xa6 https://t.co/k4zatZo1VP',London
2018-04-20 09:09:07,"b""@VictoriaCoren Feel compelled to say here that your outfit on last week's #hignfy was extremely fetching.""",London
2018-04-20 08:55:02,b'A rotating chair has worked wonders for #HIGNFY. Charles could start the hand over to other #Commonwealth heads who\xe2\x80\xa6 https://t.co/hIjl1psXyT',London
2018-04-20 08:12:22,"b'From the lady that was the commissioning editor for #hignfy, #masterchef &amp; #wouldilietoyou. The first cookbook by G\xe2\x80\xa6 https://t.co/nlZBQOLe8p'",London
2018-04-20 05:04:28,"b""RT @shreyaghoshal04: @KiranKs28817823 Don't forget to Vote in above poll \xf0\x9f\x98\x81\n#HealthForAll #HIGNFY #ShilpaShinde #BlackBuckPoachingCase \nDhan\xe2\x80\xa6""",London
2018-04-20 03:36:48,"b' #hignfy So #BBC is seriously letting me down.  2019 for next #DeathinParadise!!? #MocktheWeek #MtW, #8OutOf10Cats,\xe2\x80\xa6 https://t.co/zzBFgUAkVQ'",London
2018-04-20 01:13:00,"b""@GallacherMeghan @RuthDavidsonMSP The best. Full stop. I love @RuthDavidsonMSP - perhaps in a way we'd both find uncomfortable. #hignfy""",London
2018-04-19 21:25:58,b'Sounds like the guest publication on #HIGNFY https://t.co/ZYAyAn6osz',London
2018-04-19 20:26:06,"b"" #hignfy @Helio_Spherical @LeCreusetFiend BBQ associated object linking with French punchline......I'm not going to get a wr\xe2\x80\xa6 https://t.co/tVOaeHya89""",London
2018-04-19 19:33:44,b'Did I hear @LeeMack is presenting #hignfy tomorrow? \xf0\x9f\xa4\x93',London
2018-04-19 16:25:34,b'@BigMouthComedy \xf0\x9f\x8e\xad \n\nBreaking news \xf0\x9f\x93\xb0 #HIGNFY \n\nIce cream  \xe2\x9d\x84 and TVs \xf0\x9f\x93\xba now available in.....#Wolverhampton !! \xf0\x9f\x98\x81\xe2\x80\xa6 https://t.co/CIWQkHijEN',London
2018-04-19 16:25:32,"b' #hignfy ""And now time for the caption round the guest publication this week #BBCBizLive"" That woke me up... I\'m sure\xe2\x80\xa6 https://t.co/7v2dxAHXam'",London
2018-04-19 15:19:26,"b'https://t.co/ylmAbAPD88 In my humble opinion @victoriacoren should be the full-time presenter on #hignfy; funny, in\xe2\x80\xa6 https://t.co/j6mPnypQab'",London
2018-04-19 15:17:50,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-19 13:45:10,b'@JulietLoiselle @stephbreakfast @theBreweryVenue @ACRJournal She was awesome on #hignfy last week!',London
2018-04-19 13:14:12,b' #hignfy @NeilClark66 If this piece is supposed to make us think that the BBC is an honest unbiased media source if fails mi\xe2\x80\xa6 https://t.co/AY2I0OXQA2',London
2018-04-19 09:50:14,b' #hignfy RT @stephbreakfast: Wow! Thanks for all the messages about my stint on \xe2\x80\x98Have I Got News For You\xe2\x80\x99 last night. \xe2\x98\xba\xef\xb8\x8f I had a right laugh. #HIGNF\xe2\x80\xa6',London
2018-04-18 22:24:17,b' #hignfy RT @DrPaulCookGP: @stephbreakfast @BBCBreakfast @BBCRadio4 @BBCTheOneShow @BBCWatchdog @BBCOne hog away girl. We (belatedly)watched you put\xe2\x80\xa6',London
2018-04-18 20:47:23,b'Couldn\xe2\x80\x99t be a greater contrast between @VictoriaCoren and Paxman. Great episode of #hignfy',London
2018-04-18 19:55:59,b'Watching #hignfy and having been to a Quaker school and being raised as a quaker for 18 years listening to that pod\xe2\x80\xa6 https://t.co/Qa6lv0VtZ8',London
2018-04-18 14:18:06,"b""I can only assume that the reason I never get on Have I Got News For You'd audience, is that my last name isn't Farage #biasedBBC #hignfy""",London
2018-04-18 13:27:09,"b' #hignfy Topical comedy show blushes like a beetroot, as it tweets joke an hour or so AFTER PM clarifies LABOUR were running\xe2\x80\xa6 https://t.co/mTPrUI5HPg'",London
2018-04-18 11:05:10,"b""First two episodes of #HIGNFY S55 were unbearable. IH &amp; PM's once charmingly erudite smugness became snide, shouty oneupmanship.""",London
2018-04-18 10:29:33,b' #hignfy RT @BritishQuakers: That could well be the first time #Quakers have been mentioned on @haveigotnews. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f \n\nThere are often lots of sounds i\xe2\x80\xa6',London
2018-04-18 07:45:16,b' #hignfy @stephbreakfast @BBCBreakfast @BBCRadio4 @BBCTheOneShow @BBCWatchdog @BBCOne hog away girl. We (belatedly)watched y\xe2\x80\xa6 https://t.co/0XFbMUZcgM',London
2018-04-18 01:34:03,b'Healthy living with @VictoriaCoren #pizza #pasta #spaghetti #Food #hignfy #work https://t.co/y2pc5zfw27',London
2018-04-17 22:07:15,"b'I didn\xe2\x80\x99t know my crush on @VictoriaCoren could get any bigger, but then I watched the latest Have I Got News for You... #hignfy'",London
2018-04-17 21:11:23,"b""I've watched HOW many episodes of Only Connect to see @VictoriaCoren wear a dress like she did on #HIGNFY Ridiculously beautiful woman\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d""",London
2018-04-17 20:49:50,b' #hignfy RT @BritishQuakers: That could well be the first time #Quakers have been mentioned on @haveigotnews. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f \n\nThere are often lots of sounds i\xe2\x80\xa6',London
2018-04-17 20:02:01,b'Too sore to drive to rehearsals tonight so finally settling down for @valmcdermid\xe2\x80\x99s appearance on #HIGNFY',London
2018-04-17 19:09:50,b'@damonbwfc @Herring1967 Brian Blessed\xe2\x80\x99s stewardship of #HIGNFY is a personal favourite - fantastic chaos!',London
2018-04-17 16:32:37,"b""@richardosman Smug prick who thinks he's funny. Try and mute him anytime he comes on my telly. #hignfy HaveIGotNewsForYou #richardosman""",London
2018-04-17 15:34:10,b'@richardosman Hope Xander wasn\xe2\x80\x99t watching #HIGNFY and your views on his CD \xf0\x9f\x98\xb3',London
2018-04-17 15:22:00,b'@Peston For full explanation tune into #hignfy on Friday',London
2018-04-17 13:55:45,"b'@valmcdermid Watched you on #hignfy last night, you were fab :)'",London
2018-04-17 13:33:49,"b"" #hignfy Now there's a thought. Who'd like to see The @Indexers on #OnlyConnect? I mean, come on, who wouldn't? @The_Indexer\xe2\x80\xa6 https://t.co/S4PFSGhDyu""",London
2018-04-17 11:33:47,b' #hignfy RT @BritishQuakers: Woop! Great to hear @YoungQuakerPod mentioned on @haveigotnews this eve! You\xe2\x80\x99ll find laughter and fun - as well as sile\xe2\x80\xa6',London
2018-04-17 11:30:46,b'More on #HIGNFY 1/2 https://t.co/EWMA2ohTnu',London
2018-04-17 11:22:33,"b'If this isn\'t first up on ""have I got news for you"", then there will be outrage...\n#hignfy #whoateallthepies\xe2\x80\xa6 https://t.co/06AkJ25SeR'",London
2018-04-17 10:48:09,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-17 10:17:40,b' #hignfy @BBCRadioScot Not at all - it\xe2\x80\x99s meant to be a stereotype. What does rip my knitting are the tiresome tropes wheeled\xe2\x80\xa6 https://t.co/oOGa6ZIy4U',London
