yelp_id,id,name,image_url,url,phone,display_phone,review_count,categories__alias,categories__title,rating,location__address1,location__address3,location__city,location__zip_code,location__country,location__state,location__display_address,location__cross_streets,coordinates__latitude,coordinates__longitude,photos,,,,,,,,,,,,,,,,,
14,eventide-fenway-boston-3,Eventide - Fenway,https://s3-media2.fl.yelpcdn.com/bphoto/Tk9EmiZOYgRIbi5IaXdopw/o.jpg,https://www.yelp.com/biz/eventide-fenway-boston-3?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16175451060,(617) 545-1060,37,seafood,Seafood,4,1321 Boylston St,,Boston,2215,US,MA,1321 Boylston St,Yawkey Way & Kilmarnock St,42.34434315,-71.0987941,https://s3-media1.fl.yelpcdn.com/bphoto/Lz82w03QOifFFP7EZSjU_w/o.jpg,,,,,,,,,,,,,,,,,
15,showcase-superlux-newton-2,Showcase SuperLux,https://s3-media2.fl.yelpcdn.com/bphoto/GOtzKliKfvXdi356-AEE8g/o.jpg,https://www.yelp.com/biz/showcase-superlux-newton-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16176585160,(617) 658-5160,254,movietheaters,Cinema,3,55 Boylston St,,Newton,2467,US,MA,55 Boylston St,,42.34434315,-71.0987941,https://s3-media3.fl.yelpcdn.com/bphoto/mvjLEi7iCFctknbLRQwMAQ/o.jpg,,,,,,,,,,,,,,,,,
16,piperi-mediterranean-grill-boston,Piperi Mediterranean Grill,https://s3-media4.fl.yelpcdn.com/bphoto/1erHAT3gT9F3lxLpXpXVJw/o.jpg,https://www.yelp.com/biz/piperi-mediterranean-grill-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172277471,(617) 227-7471,429,mediterranean,Mediterranean,4.5,1 Beacon St,,Boston,2108,US,MA,1 Beacon St,,42.3585362,-71.0607882,https://s3-media4.fl.yelpcdn.com/bphoto/5kT15KELfwdSfNkvrlY9Rg/o.jpg,,,,,,,,,,,,,,,,,
17,polcaris-coffee-boston,Polcari's Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/ob7DEup7JUK2N1q0tm41Ig/o.jpg,https://www.yelp.com/biz/polcaris-coffee-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172270786,(617) 227-0786,156,coffee,Coffee & Tea,5,105 Salem St,,Boston,2113,US,MA,105 Salem St,,42.36401,-71.0555,https://s3-media2.fl.yelpcdn.com/bphoto/BuYE5_4OM7M_ZZvixwSwBw/o.jpg,,,,,,,,,,,,,,,,,
18,norman-b-leventhal-park-boston,Norman B Leventhal Park,https://s3-media4.fl.yelpcdn.com/bphoto/DKQ2qRh3WUlB6gx4Ewfw2w/o.jpg,https://www.yelp.com/biz/norman-b-leventhal-park-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16174231500,(617) 423-1500,39,parks,Parks,5,50 Federal St,Fl 5,Boston,2110,US,MA,50 Federal St,,42.35645089,-71.05583668,https://s3-media2.fl.yelpcdn.com/bphoto/1l9cB8bjd3VP4YgkYISo2Q/o.jpg,,,,,,,,,,,,,,,,,
19,ostra-boston,Ostra,https://s3-media1.fl.yelpcdn.com/bphoto/0wh4eAi4urEGzpyYMY8tTQ/o.jpg,https://www.yelp.com/biz/ostra-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16174211200,(617) 421-1200,310,seafood,Seafood,4.5,1 Charles St S,,Boston,2116,US,MA,1 Charles St S,,42.35109512,-71.06709123,https://s3-media3.fl.yelpcdn.com/bphoto/E_xvlTufVeq-RJOX9_fKqw/o.jpg,,,,,,,,,,,,,,,,,
20,polcaris-coffee-boston,Polcari's Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/ob7DEup7JUK2N1q0tm41Ig/o.jpg,https://www.yelp.com/biz/polcaris-coffee-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172270786,(617) 227-0786,156,coffee,Coffee & Tea,5,105 Salem St,,Boston,2113,US,MA,105 Salem St,,42.36401,-71.0555,https://s3-media2.fl.yelpcdn.com/bphoto/BuYE5_4OM7M_ZZvixwSwBw/o.jpg,,,,,,,,,,,,,,,,,
21,all-star-pizza-bar-boston,All Star Pizza Bar,https://s3-media2.fl.yelpcdn.com/bphoto/RZFfOPVvl65y3zbSD_uFwg/o.jpg,https://www.yelp.com/biz/all-star-pizza-bar-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,18579911890,(857) 991-1890,30,pizza,Pizza,5,204 Cambridge St,,Boston,2114,US,MA,204 Cambridge St,,42.3609581,-71.06589508,https://s3-media3.fl.yelpcdn.com/bphoto/E_BVaVkCWoOhoN09pDPoQg/o.jpg,,,,,,,,,,,,,,,,,
22,fenway-park-boston,Fenway Park,https://s3-media4.fl.yelpcdn.com/bphoto/AZHCm4TqxljG3uzTZjO0TA/o.jpg,https://www.yelp.com/biz/fenway-park-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,18777337699,(877) 733-7699,1103,parks,Parks,4.5,4 Yawkey Way,,Boston,2115,US,MA,4 Yawkey Way,,42.34635832,-71.0976151,https://s3-media3.fl.yelpcdn.com/bphoto/w-T9TB4Vgbt81VyhpFgMHw/o.jpg,,,,,,,,,,,,,,,,,
23,saltie-girl-boston,Saltie Girl,https://s3-media1.fl.yelpcdn.com/bphoto/YbBUekue-2E--iW6tsWrgA/o.jpg,https://www.yelp.com/biz/saltie-girl-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172670691,(617) 267-0691,350,seafood,Seafood,4.5,281 Dartmouth St,,Boston,2116,US,MA,281 Dartmouth St,,42.3511377,-71.0776626,https://s3-media2.fl.yelpcdn.com/bphoto/v3y5mfGT5B2EvvvSoHt6vQ/o.jpg,,,,,,,,,,,,,,,,,
24,flour-bakery-and-cafe-boston-2,Flour Bakery & Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/GFa1WcFY1r5vgBhI3APOGQ/o.jpg,https://www.yelp.com/biz/flour-bakery-and-cafe-boston-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172674300,(617) 267-4300,809,bakeries,Bakeries,4,1595 Washington St,,Boston,2118,US,MA,1595 Washington St,,42.338443,-71.074548,https://s3-media4.fl.yelpcdn.com/bphoto/F0HdzMvllmfadGdM0StMng/o.jpg,,,,,,,,,,,,,,,,,
25,haley-house-bakery-café-roxbury-3,Haley House Bakery Café,https://s3-media4.fl.yelpcdn.com/bphoto/oAJVxZA1x3675nuktZCFlQ/o.jpg,https://www.yelp.com/biz/haley-house-bakery-caf%C3%A9-roxbury-3?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16174450900,(617) 445-0900,195,bakeries,Bakeries,4.5,12 Dade St,,Roxbury,2119,US,MA,12 Dade St,,42.33204,-71.08253,https://s3-media3.fl.yelpcdn.com/bphoto/OBgw0SIWtOD3WRnJ8OP7DQ/o.jpg,,,,,,,,,,,,,,,,,
26,milkweed-boston,Milkweed,https://s3-media4.fl.yelpcdn.com/bphoto/jIxeQiAWp8kDxCw-Pr4Img/o.jpg,https://www.yelp.com/biz/milkweed-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16175168913,(617) 516-8913,36,newamerican,American (New),5,1508 Tremont St,,Boston,2120,US,MA,1508 Tremont St,,42.3313358,-71.0954743,https://s3-media4.fl.yelpcdn.com/bphoto/ySjzPSzu8ITiasn2-bV4tA/o.jpg,,,,,,,,,,,,,,,,,
27,preparations-dorchester,Preparations,https://s3-media1.fl.yelpcdn.com/bphoto/0Ji7CjfJnqBKnYX8A39rhw/o.jpg,https://www.yelp.com/biz/preparations-dorchester?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16174455120,(617) 445-5120,16,markets,Fruits & Veggies,4.5,220 Columbia Rd,,Dorchester,2121,US,MA,220 Columbia Rd,,42.30751038,-71.07639313,https://s3-media3.fl.yelpcdn.com/bphoto/rJjdISZBXROtJejn5YxZAQ/o.jpg,,,,,,,,,,,,,,,,,$
28,coco-leaf-boston,Coco Leaf,https://s3-media2.fl.yelpcdn.com/bphoto/kJi6mOGYq9u-DOmLpra5_w/o.jpg,https://www.yelp.com/biz/coco-leaf-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16175060010,(617) 506-0010,120,desserts,Desserts,4.5,1480 Dorchester Ave,,Boston,2122,US,MA,1480 Dorchester Ave,,42.30007,-71.05991,https://s3-media1.fl.yelpcdn.com/bphoto/SS3x1Cr8VFxEUmAK2Bn6yQ/o.jpg,,,,,,,,,,,,,,,,,
29,el-barrio-mexican-grill-dorchester-center,El Barrio Mexican Grill,https://s3-media2.fl.yelpcdn.com/bphoto/ekTbnlx4ARxxsltkT8EGuA/o.jpg,https://www.yelp.com/biz/el-barrio-mexican-grill-dorchester-center?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172975205,(617) 297-5205,186,tex-mex,Tex-Mex,4,1782 Dorchester Ave,,Dorchester Center,2124,US,MA,1782 Dorchester Ave,,42.2894867,-71.0632446,https://s3-media1.fl.yelpcdn.com/bphoto/3v5-iGYUrpZQV1DsQqKUKQ/o.jpg,,,,,,,,,,,,,,,,,
30,banh-mi-ba-le-dorchester,Banh Mi Ba Le,https://s3-media4.fl.yelpcdn.com/bphoto/W8AKLK4f8GBlE0KQliexfg/o.jpg,https://www.yelp.com/biz/banh-mi-ba-le-dorchester?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172657171,(617) 265-7171,267,vietnamese,Vietnamese,4,1052 Dorchester Ave,,Dorchester,2125,US,MA,1052 Dorchester Ave,,42.3148574,-71.0567825,https://s3-media4.fl.yelpcdn.com/bphoto/qO56fHpJhbJZSI-9eP2TXg/o.jpg,,,,,,,,,,,,,,,,,
31,simcos-mattapan,Simco's,https://s3-media4.fl.yelpcdn.com/bphoto/UQOzcyYgMt0OcJkaAOvw3g/o.jpg,https://www.yelp.com/biz/simcos-mattapan?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172963800,(617) 296-3800,60,hotdog,Hot Dogs,4,1509 Blue Hill Ave,,Mattapan,2126,US,MA,1509 Blue Hill Ave,,42.27267824,-71.09376512,https://s3-media2.fl.yelpcdn.com/bphoto/eqX1TbeFDUvk-PslCsfX3w/o.jpg,,,,,,,,,,,,,,,,,
