2018-04-20 20:02:05,b'RT @EJT___: #SignsYoureInMyHometown\n\nThey roll up the sidewalks at 10:00',California
2018-04-20 20:00:40,"b'RT @lisamarie1222: #SignsYoureInMyHometown\nYou ""might"" see Eminem! \xf0\x9f\x99\x8c\n#ComericaParkConcert https://t.co/d0kPzaI4k3'",California
2018-04-20 20:00:39,b'#SignsYoureInMyHometown you hit a pothole every 10 feet.',California
2018-04-20 20:00:37,"b'#SignsYoureInMyHometown My papaw helped put up this billboard after WW2, the sunbeam girl still swings \xf0\x9f\x98\x81 https://t.co/Kwjru58AhH'",California
2018-04-20 20:00:37,b'Your car falls apart after u go over a pothole\n#SignsYoureInMyHometown',California
2018-04-20 20:00:34,"b'War not seen; Hence colors veil the sun, If you need! #SignsYoureInMyHometown'",California
2018-04-20 20:00:27,b'#SignsYoureInMyHometown you are just in awe because it\xe2\x80\x99s so beautiful.',California
2018-04-20 20:00:25,b'RT @HashtagRoundup: #8 USA #SignsYoureInMyHometown with @HappyHourTags \n\nPlay along with @HashtagRoundup',California
2018-04-20 20:00:25,b'#SignsYoureInMyHometown potholes everywhere except in parking lots',California
2018-04-20 20:00:23,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',California
2018-04-20 20:00:21,"b""You've got BBQ sauce on your chin #SignsYoureInMyHometown""",California
2018-04-20 20:00:20,"b""#SignsYoureInMyHometown you're wearing a coat in April""",California
2018-04-20 20:00:14,b'RT @ummmno21: You can shoot a gun off your front porch cause your nearest neighbor is your uncle a mile away. #SignsYoureInMyHometown',California
2018-04-20 20:00:06,"b'#SignsYoureInMyHometown\nEveryone knows my name..\n\n(Not kidding, its not easy walking down the road and being called by every other kid)'",California
2018-04-20 20:00:01,b'Top US trends right now 13:00 PT\n\nAvicii\n#420day\n#NationalSchoolWalkout\n#FridayFeeling\n#SignsYoureInMyHometown',California
2018-04-20 20:00:00,"b""RT @heyjacqui_: They've gone 49 years without a river fire. #SignsYoureInMyHometown https://t.co/vs6FW5B897""",California
2018-04-20 19:59:59,b'#SignsYoureInMyHometown \n\nThis is not made up https://t.co/n5ktPuvsCQ',California
2018-04-20 19:59:58,b'RT @UPGirlcd: My mom will invite you to the church potluck. #SignsYoureInMyHometown',California
2018-04-20 19:59:56,"b""RT @DaSkrambledEgg: You're looking for other towns to go to #SignsYoureInMyHometown""",California
2018-04-20 19:59:56,"b'RT @VisitSpudonka: #SignsYoureInMyHometown\n\nWith a few rubs, all your wishes can come true! https://t.co/PauH1J92hW'",California
2018-04-20 19:59:45,b'RT @klf113: You can walk to the beach to see the sunset \n#SignsYoureInMyHometown https://t.co/W6YbPOj0ZB',California
2018-04-20 19:59:45,b'#SignsYoureInMyHometown\nYou get a warm welcome from the locals https://t.co/QgMwm0P28b',California
2018-04-20 19:59:39,"b""You're much more likely to hit a cow with your car than a deer. #SignsYoureInMyHometown #Farmington""",California
2018-04-20 19:59:39,b'RT @fivefortweeting: #SignsYoureInMyHometown\n\nIt smells like Manure when you go by a Farm in the summer time \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xae https://t.co/l7zSC7YrpS',California
2018-04-20 19:59:35,"b'RT @Danko_Richards: You\xe2\x80\x99ll see me at 8-years old, running with, a dime in my hand... #SignsYoureInMyHometown'",California
2018-04-20 19:59:30,"b""RT @kevinwxgg: You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",California
2018-04-20 19:59:29,b'#SignsYoureInMyHometown you wore a bib at lunch.',California
2018-04-20 19:59:26,b'#SignsYoureInMyHometown The Mayor is an odd sort of fellow. https://t.co/bJ8IeYEgV0',California
2018-04-20 19:59:24,b'#SignsYoureInMyHometown\nThe water is not fit to bathe in or drink!',California
2018-04-20 19:59:20,"b""RT @heyjacqui_: They've gone 49 years without a river fire. #SignsYoureInMyHometown https://t.co/vs6FW5B897""",California
2018-04-20 19:59:16,"b""#SignsYoureInMyHometown Curtains twitch.Doors slam shut. Mothers swear at their toddlers. A woman who shop's at Sai\xe2\x80\xa6 https://t.co/MAdKgx72DR""",California
2018-04-20 19:59:12,b'Skinny Chavs with cheap tattoos are walking around town in baseball caps and a can of Stella #SignsYoureInMyHometown',California
2018-04-20 19:59:12,b'RT @SelinaSuede: There are so many Starbucks that you better clarify which one you are meeting your friend at. #SignsYoureInMyHometown http\xe2\x80\xa6',California
2018-04-20 19:59:08,b'RT @clark_gasm: You\xe2\x80\x99re using google maps to figure out how to get the hell out.  #SignsYoureInMyHometown',California
2018-04-20 19:59:05,b'RT @kittykaresless: You can\xe2\x80\x99t tell anyone where you are because you can\xe2\x80\x99t spell it or pronounce it.  #SignsYoureInMyHometown https://t.co/h\xe2\x80\xa6',California
2018-04-20 19:59:02,b'When you see more discarded needles and beer cans than recycling bins. #SignsYoureInMyHometown',California
2018-04-20 19:58:58,b'When you can visit three hockey rinks and a curling rink on the  same street \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 #SignsYoureInMyHometown',California
2018-04-20 19:58:57,b'RT @laughingskull59: We respect authority...\n#SignsYoureInMyHometown https://t.co/X6W2bNLCBY',California
2018-04-20 19:58:50,b'RT @fivefortweeting: #SignsYoureInMyHometown\n\nIt smells like Manure when you go by a Farm in the summer time \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xae https://t.co/l7zSC7YrpS',California
2018-04-20 19:58:49,b' #SignsYoureInMyHometown In #Spokane a lot of the rich kids pretend to be gangsters and brag about how many real gangsters they know. Should\xe2\x80\xa6 https://t.co/oDKmYV1Z9U',California
2018-04-20 19:58:43,b'RT @urbaneboomer: #SignsYoureInMyHometown Rats the size of small deer.',California
2018-04-20 19:58:43,"b'Wear shorts and short sleeve shirt Monday, snow blowing 25"" of snow Wednesday. #SignsYoureInMyHometown'",California
2018-04-20 19:58:37,b'#SignsYoureInMyHometown you see this \xf0\x9f\xa4\x91 https://t.co/gsZjNsmBUy',California
2018-04-20 19:58:34,b'#SignsYoureInMyHometown\nI\xe2\x80\x99m not there',California
2018-04-20 19:58:32,b'RT @charley_ck14: I\xe2\x80\x99m nowhere to be found. #SignsYoureInMyHometown',California
2018-04-20 19:58:25,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',California
2018-04-20 19:58:23,b'You start seeing street signs melt. #YUMA #SignsYoureInMyHometown',California
2018-04-20 19:58:22,"b""#SignsYoureInMyHometown when someone famous is here they can just go about their business and don't have to worry about being mobbed #yyc""",California
2018-04-20 19:58:21,b'#SignsYoureInMyHometown all the screw the system types are walking wounded https://t.co/PsgH7eiGPz',California
2018-04-20 19:58:21,b'#SignsYoureInMyHometown\nYou marvel at the only stoplight in the county...',California
2018-04-20 19:58:19,b'RT @ReadHollyWood: #SignsYoureInMyHometown You can drive by the field where Lorena Bobbitt thru Johns\xe2\x80\x99s wiener out the window',California
2018-04-20 19:58:19,"b'RT @werDofmouth: #SignsYoureInMyHometown tourist traps. But don\xe2\x80\x99t worry, I\xe2\x80\x99ll show you the local spots they don\xe2\x80\x99t tell you about on travel\xe2\x80\xa6'",California
2018-04-20 19:58:15,b'#SignsYoureInMyHometown\nWe have a lot of vultures. https://t.co/R0x6IR7yQT',California
2018-04-20 19:58:14,"b""RT @ClintK64: #SignsYoureInMyHometown If you're sick, every old lady in town brings you soup.""",California
2018-04-20 19:58:04,b'THANK YOU for playing #SignsYoureInMyHometown with @Heyjacqui_ !\n\nI want to thank my SUPER AMAZING co-hosts\xe2\x80\xa6 https://t.co/8sqXe8573Q',California
2018-04-20 19:58:03,b' #SignsYoureInMyHometown @geraldneckpunch @Shipwreck6669 @PaulMalignaggi @DrTroy357 @L2_3T @petercards @FidelisMaximus @Capones_Rulz\xe2\x80\xa6 https://t.co/6hlffQZucO',California
2018-04-20 19:58:03,"b""It's a short drive or walk to the beach to see the sun set in the ocean. \xf0\x9f\x99\x82\n#SignsYoureInMyHometown  #sunset 4/18/18\xe2\x80\xa6 https://t.co/naBDZLD77b""",California
2018-04-20 19:57:53,b'Everyone is an asshole #SignsYoureInMyHometown',California
2018-04-20 19:57:51,b'RT @tlcprincess: Poutine is everywhere #SignsYoureInMyHometown https://t.co/6T4XnBmeKs',California
2018-04-20 19:57:49,"b""#SignsYoureInMyHometown Everyone's asking if you want to go to Sals for a Nip. #WinnipegRepresentin""",California
2018-04-20 19:57:49,"b""#SignsYoureInMyHometown\nThere's a evil clown in front of the liquor store.""",California
2018-04-20 19:57:48,b'#SignsYoureInMyHometown: You smell cow manure and truck exhaust',California
2018-04-20 19:57:47,"b'All of the restaurants have full parking lots, but everyone just parked there and walked to Chik-fil-a. #SignsYoureInMyHometown'",California
2018-04-20 19:57:46,b'Road construction #SignsYoureInMyHometown #OKC https://t.co/NXDEf6N7AK',California
2018-04-20 19:57:45,b'Brand new used Impalas\nMuffler-optional\n\n#SignsYoureInMyHometown \n@HashtagRoundup',California
2018-04-20 19:57:45,"b"" #SignsYoureInMyHometown Strains of Duelling Banjos from the drug addled toothless inbreds' courting their siblings or cousins over the othe\xe2\x80\xa6 https://t.co/0fUSYWfKH1""",California
2018-04-20 19:57:42,b'#SignsYoureInMyHometown \nThere\xe2\x80\x99s a curfew because of how many children go missing at night. \xf0\x9f\xa4\xa1\xf0\x9f\x98\x88\xf0\x9f\x91\x80\xf0\x9f\x8e\x88 #Pennywise\xe2\x80\xa6 https://t.co/vRCRfa2wkN',California
2018-04-20 19:57:40,b'RT @jimishbathia: Nobody gives indicators before turning \n#SignsYoureInMyHometown',California
2018-04-20 19:57:36,b'RT @13astard: #SignsYoureInMyHometown the meth is gray and contains bits of sawdust. https://t.co/0tZaOlGZTS',California
2018-04-20 19:57:33,b'RT @Joyannah73: Lots of tats. Less of teeth #SignsYoureInMyHometown',California
2018-04-20 19:57:32,b'#SignsYoureInMyHometown - when literally every store (including Wal-Mart) has a bunch of pumpkin items because we C\xe2\x80\xa6 https://t.co/gc3thxyNmT',California
2018-04-20 19:57:30,b'You can shoot a gun off your front porch cause your nearest neighbor is your uncle a mile away. #SignsYoureInMyHometown',California
2018-04-20 19:57:28,b'RT @justbadgerfudge: #SignsYoureInMyHometown\nPeople hold doors open for each other all the time.',California
2018-04-20 19:57:27,b'Sun is always out. Rarely rains. #SignsYoureInMyHometown',California
2018-04-20 19:57:26,b'#SignsYoureInMyHometown you brought the lake breeze with you. https://t.co/lDWwcr090F',California
2018-04-20 19:57:21,b'Most of the people around you are of Latino or Filipino descent... or both.\n(Translation: Bomb-ass food!) \n#SignsYoureInMyHometown\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d',California
2018-04-20 19:57:20,"b""RT @JMoney731: There's an elephant over your shoulder  \xf0\x9f\x90\x98\xf0\x9f\x90\x98\xf0\x9f\x90\x98\xf0\x9f\x90\x98\n#SignsYoureInMyHometown https://t.co/MTRQJocLpw""",California
2018-04-20 19:57:20,"b'RT @SadlyCatless: Everything is within walking distance, but people drive everywhere anyway. #SignsYoureInMyHometown'",California
2018-04-20 19:57:13,b'#SignsYoureInMyHometown there is more dust than oxygen',California
2018-04-20 19:57:11,"b""#SignsYoureInMyHometown\nThere's a large bald man pestering people about politics. It's me.""",California
2018-04-20 19:57:07,b'RT @CrookedAlli: Everybody\xe2\x80\x99s calling you darlin and the flower shop is also the tanning salon \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #SignsYoureInMyHometown',California
2018-04-20 19:57:07,b'#SignsYoureInMyHometown Everyone has at least country song they can relate to.\nhttps://t.co/8OjgUDiAPZ',California
2018-04-20 19:57:05,"b'RT @weirdsavant: Ugly streets, nice sunset. #SignsYoureInMyHometown https://t.co/9zpBIlIYQW'",California
2018-04-20 19:57:05,"b'RT @VisitSpudonka: #SignsYoureInMyHometown\n\nWherever you see a soiled, discarded neck brace in an alley. https://t.co/yuTa2Rb4uP'",California
2018-04-20 19:57:04,b'#SignsYoureInMyHometown I might see her\xf0\x9f\x91\x87\xf0\x9f\x8f\xbe https://t.co/QNolJvL8CP',California
2018-04-20 19:56:59,b'#SignsYoureInMyHometown you get the cops called on you for calling someone princess \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xad',California
2018-04-20 19:56:58,"b""RT @chellemybell22: #SignsYoureInMyHometown\nYou feel like you're in hell its so hot https://t.co/hVNLrXdDdA""",California
2018-04-20 19:56:55,"b""RT @tri_stater: #SignsYoureInMyHometown Everybody drives a pick-up truck unless they're poor. Then they drive used police cruisers.""",California
2018-04-20 19:56:55,b'#SignsYoureInMyHometown you can smell dog food and meth. #dOgden #JunctionCityUtah',California
2018-04-20 19:56:52,b'You missed it. #SignsYoureInMyHometown',California
2018-04-20 19:56:50,b'#SignsYoureInMyHometown\nSmell of onions- https://t.co/9FDWZjA3Ma',California
2018-04-20 19:56:47,b'RT @ReadHollyWood: #SignsYoureInMyHometown You can drive by the field where Lorena Bobbitt thru Johns\xe2\x80\x99s wiener out the window',California
2018-04-20 19:56:46,b'You\xe2\x80\x99re passed out on Bourbon st\n#SignsYoureInMyHometown',California
2018-04-20 19:56:40,b'RT @KeshaTedder: #SignsYoureInMyHometown You see me waving at you.',California
2018-04-20 19:56:39,b'RT @EMK51515: #SignsYoureInMyHometown You know who the Box J Boys are! And what Oskee WeeWee is! \n@heyjacqui_  @mamabridgee @Moon_River05 a\xe2\x80\xa6',California
2018-04-20 19:56:36,"b'RT @HelenMaryMe: #SignsYoureInMyHometown\n\nYou get mugged when you stop to take a picture of the Empire State Building, but a passing Good S\xe2\x80\xa6'",California
2018-04-20 19:56:36,b'RT @judenmarysmomma: You are a cow \xf0\x9f\x90\x84#SignsYoureInMyHometown',California
2018-04-20 19:56:33,b'#SignsYoureInMyHometown The sign! https://t.co/rg7k1Mu56h',California
2018-04-20 19:56:32,b'RT @robyndwoskin: Potholes are everywhere!#SignsYoureInMyHometown https://t.co/Jyaa6FHpW4',California
2018-04-20 19:56:26,"b"" #SignsYoureInMyHometown RT @HappyHourTags: See this gorgeous skyline? It's my hometown of Cleveland, OH. It's time for you to rep YOUR hometown and...\n\nPLAY: #Sign\xe2\x80\xa6""",California
2018-04-20 19:56:26,b'RT @SelinaSuede: The traffic is insane downtown. #SignsYoureInMyHometown https://t.co/MMvp2iUCXc',California
2018-04-20 19:56:25,"b""RT @FireBlaze1901: #SignsYoureInMyHometown It's raining and smells like cow shit""",California
2018-04-20 19:56:21,b'RT @HashtagRoundup: Keep rocking #SignsYoureInMyHometown with @HappyHourTags hosted by @heyjacqui_ @mamabridgee @Moon_River05 @K_inberea83',California
2018-04-20 19:56:19,b'RT @fivefortweeting: #SignsYoureInMyHometown\n\nIt smells like Manure when you go by a Farm in the summer time \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xae https://t.co/l7zSC7YrpS',California
2018-04-20 19:56:19,b'#SignsYoureInMyHometown You Pass By 2 Billboards That Say Welcome To Timmins The Hometown Of Shania Twain \xf0\x9f\x98\x80',California
2018-04-20 19:56:17,"b""RT @ClintK64: #SignsYoureInMyHometown If you're sick, every old lady in town brings you soup.""",California
2018-04-20 19:56:17,b'and she really look like a kutterpig #SignsYoureInMyHometown',California
2018-04-20 19:56:16,b'RT @RtotheTtotheC: You see a lot of this\n#SignsYoureInMyHometown\n@HappyHourTags\n@heyjacqui_\n@mamabridgee\n@Moon_River05\n@K_inberea83 https:/\xe2\x80\xa6',California
2018-04-20 19:56:13,b'RT @VeldLot: #SignsYoureInMyHometown terrace at the pub full at 2am',California
2018-04-20 19:56:08,b'Even deaf people walk around with headphones \n\n #SignsYoureInMyHometown',California
2018-04-20 19:56:07,"b'RT @VisitSpudonka: #SignsYoureInMyHometown\n\nWith a few rubs, all your wishes can come true! https://t.co/PauH1J92hW'",California
2018-04-20 19:56:04,"b'A town that somehow manages to be up market, run down and historic all at the same time. #SignsYoureInMyHometown'",California
2018-04-20 19:56:02,b'RT @robyndwoskin: Potholes are everywhere!#SignsYoureInMyHometown https://t.co/Jyaa6FHpW4',California
2018-04-20 19:55:59,b'#SignsYoureInMyHometown You are not safe. #SouthHarrow South Harrow',California
2018-04-20 19:55:56,b'Unfortunately some would say #SignsYoureInMyHometown is having to be careful with how you dress\n\n#2pac #Makaveli\xe2\x80\xa6 https://t.co/ZGpUjopOu3',California
2018-04-20 19:55:55,b'#signsyoureinmyhometown - everyone has their hands down their pants and talks with an overly fake scouse accent',California
2018-04-20 19:55:53,b'RT @KeshaTedder: #SignsYoureInMyHometown You see me waving at you.',California
2018-04-20 19:55:52,"b'liquor store, beer store and three stop lights\n#SignsYoureInMyHometown #3stoplighttown \xf0\x9f\x8d\x80'",California
2018-04-20 19:55:49,b'a woman named kutterpig is outside looking for a cigarette  #SignsYoureInMyHometown',California
2018-04-20 19:55:47,b'RT @CzexanCzik: #SignsYoureInMyHometown in February the temperature could be 20 Fahrenheit on Thursday and 78 on Saturday',California
2018-04-20 19:55:46,"b""RT @MilosRocks: The soccer hooligans are eyeing you because your shoes aren't torn and you probably have money\n\n #SignsYoureInMyHometown #B\xe2\x80\xa6""",California
2018-04-20 19:55:46,"b"" #SignsYoureInMyHometown WHAT DOESN'T IMPRESS ME https://t.co/thqq94HARm (#MaratonaRedeBBB #FridayFeeling #KohLanta #420day Biel Columbine\xe2\x80\xa6 https://t.co/kj6yD9lKpz""",California
2018-04-20 19:55:45,b'RT @ReadHollyWood: #SignsYoureInMyHometown You can drive by the field where Lorena Bobbitt thru Johns\xe2\x80\x99s wiener out the window',California
2018-04-20 19:55:43,b'RT @CrookedAlli: Everybody\xe2\x80\x99s calling you darlin and the flower shop is also the tanning salon \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #SignsYoureInMyHometown',California
2018-04-20 19:55:42,b'RT @ZarrarSalahPTI: #SignsYoureInMyHometown\nThe streets are filled with truly delicious food to eat...',California
2018-04-20 19:55:41,b'RT @Joyannah73: Lots of tats. Less of teeth #SignsYoureInMyHometown',California
2018-04-20 19:55:39,b'Finding Nemo wasn\xe2\x80\x99t just a movie.  #SignsYoureInMyHometown',California
2018-04-20 19:55:37,"b""#SignsYoureInMyHometown all the people have a gif you've laughed at... https://t.co/x4HPul6sxN""",California
2018-04-20 19:55:32,b'RT @jswilliams1962: There\xe2\x80\x99s rednecks everywhere \n\n#SignsYoureInMyHometown',California
2018-04-20 19:55:25,b'#SignsYoureInMyHometown people always gossiping',California
2018-04-20 19:55:24,b'RT @klf113: You can walk to the beach to see the sunset \n#SignsYoureInMyHometown https://t.co/W6YbPOj0ZB',California
2018-04-20 19:55:18,b'Ugly Lucy!  #SignsYoureInMyHometown https://t.co/UKns1YlMpO',California
2018-04-20 19:55:17,"b'#SignsYoureInMyHometown\nDrivers of pickup trucks feel turn signals are ""gay"" and don\'t have to use them'",California
2018-04-20 19:55:15,b'RT @bridgetdoran: Someone will always say it\xe2\x80\x99s \xe2\x80\x9cThe city that rhymes with fun\xe2\x80\x9d #SignsYoureInMyHometown',California
2018-04-20 19:55:09,"b""#SignsYoureInMyHometown If you're sick, every old lady in town brings you soup.""",California
2018-04-20 19:55:04,b'#SignsYoureInMyHometown\nPeople hold doors open for each other all the time.',California
2018-04-20 19:54:57,b'RT @Be_loved_Freak: #SignsYoureInMyHometown\nEveryone has the same religion. Go Sox!! https://t.co/VjsxLpcqxl',California
2018-04-20 19:54:56,b'You smell urine - #SignsYoureInMyHometown',California
2018-04-20 19:54:49,b'Jayhawks.\n #SignsYoureInMyHometown https://t.co/0Y46zZy5zv',California
2018-04-20 19:54:48,"b""RT @kevinwxgg: You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",California
2018-04-20 19:54:48,b'RT @SadlyCatless: Not one health food store #SignsYoureInMyHometown https://t.co/aQIX27T3YB',California
2018-04-20 19:54:45,b'RT @VeldLot: #SignsYoureInMyHometown terrace at the pub full at 2am',California
2018-04-20 19:54:38,"b""#SignsYoureInMyHometown\nYou've just spent an hour in traffic getting here.""",California
2018-04-20 19:54:37,"b'RT @Danko_Richards: You\xe2\x80\x99ll see me at 8-years old, running with, a dime in my hand... #SignsYoureInMyHometown'",California
2018-04-20 19:54:36,b'#SignsYoureInMyHometown\nDumpsters are full of wine bottles-',California
2018-04-20 19:54:36,b'#SignsYoureInMyHometown\n\nIt smells like Manure when you go by a Farm in the summer time \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xae https://t.co/l7zSC7YrpS',California
2018-04-20 19:54:36,b' #SignsYoureInMyHometown RT @heyjacqui_: Parents have to carefully check their kids Halloween goodies in case someone tries to slip Browns tickets in their bag. #Si\xe2\x80\xa6',California
2018-04-20 19:54:33,b'RT @_lola_bee: The only traffic jam is a tractor on the road\n#SignsYoureInMyHometown',California
2018-04-20 19:54:33,b'RT @SelinaSuede: You can see an amazing view of the city.#SignsYoureInMyHometown https://t.co/nnnToq94Mu',California
2018-04-20 19:54:30,"b""RT @BeckysKillinIt: #SignsYoureInMyHometown Don't take the G train pass Classon ave! If you're at the Bedford-Nostrand stop.. it's too late\xe2\x80\xa6""",California
2018-04-20 19:54:30,b'RT @DustinG_86: You mostly see scenery &amp; not many businesses\n#SignsYoureInMyHometown',California
2018-04-20 19:54:30,"b'#SignsYoureInMyHometown signs that say ""Frederick, Maryland"" and ""You Are Now In Frederick, Maryland""'",California
2018-04-20 19:54:26,b'RT @MrRaceBannon: Everyone apologizes to you #SignsYoureInMyHometown https://t.co/OuG9sgv7U1',California
2018-04-20 19:54:24,"b""RT @DaSkrambledEgg: You're looking for other towns to go to #SignsYoureInMyHometown""",California
2018-04-20 19:54:24,b'#SignsYoureInMyHometown People call the law on you if you are NOT carrying a firearm!',California
2018-04-20 19:54:23,"b'RT @HelenMaryMe: #SignsYoureInMyHometown\n\nYou get mugged when you stop to take a picture of the Empire State Building, but a passing Good S\xe2\x80\xa6'",California
2018-04-20 19:54:22,b'#SignsYoureInMyHometown\nYou hear banjo music https://t.co/22mFHH5NAs',California
2018-04-20 19:54:18,b'RT @heyjacqui_: Your football teams sucks so you throw a 0-16 Perfect Season Parade. #SignsYoureInMyHometown @Browns https://t.co/XFFNZX3uqz',California
2018-04-20 19:54:15,b'RT @KeshaTedder: #SignsYoureInMyHometown You see me waving at you.',California
2018-04-20 19:54:14,b'RT @viewfrommyoffic: #SignsYoureInMyHometown  It is still snow covered in April',California
2018-04-20 19:54:08,b'RT @bridgetdoran: Someone will always say it\xe2\x80\x99s \xe2\x80\x9cThe city that rhymes with fun\xe2\x80\x9d #SignsYoureInMyHometown',California
2018-04-20 19:54:08,b'RT @sunkisseeddd: #SignsYoureInMyHometown\nThe view is breathtaking https://t.co/zeLkaPuML2',California
2018-04-20 19:54:07,b'You are a cow \xf0\x9f\x90\x84#SignsYoureInMyHometown',California
2018-04-20 19:54:07,b'RT @heyjacqui_: Your football teams sucks so you throw a 0-16 Perfect Season Parade. #SignsYoureInMyHometown @Browns https://t.co/XFFNZX3uqz',California
2018-04-20 19:54:04,"b""#SignsYoureInMyHometown you'll come across 30 year old men in full Adidas tracksuits and women with 3 different kids of 3 different colour""",California
2018-04-20 19:54:04,"b'RT @SadlyCatless: Everything is within walking distance, but people drive everywhere anyway. #SignsYoureInMyHometown'",California
2018-04-20 19:54:03,"b'an owl is prolly made a nest in your hair and everybody calls you ""kom\xc5\xa1ija"" #SignsYoureInMyHometown'",California
2018-04-20 19:54:00,"b""RT @kevinwxgg: You've driven a riding lawnmower to work. \n#SignsYoureInMyHometown""",California
